Galaxy,Artigo
PDE_00092,PDE_00092
PDE_00116,
PDE_00202,
PDE_00249,PDE_00249
PDE_00282,
PDE_00327,
PDE_00422,PDE_00422
PDE_00432,
PDE_00482,PDE_00482
PDE_00484,
PDE_00557,
PDE_00594,
PDE_00760,PDE_00760
PDE_00928,PDE_00928
PDE_00929,
PDE_00932,PDE_00932
PDE_00958,
PDE_01060,
PDE_01080,PDE_01080
,PDE_01189
,PDE_01191
,PDE_01193
,PDE_01194
,PDE_01195
PDE_01196,PDE_01196
PDE_01209,
PDE_01212,PDE_01212
PDE_01213,PDE_01213
PDE_01214,PDE_01214
PDE_01215,PDE_01215
PDE_01216,
PDE_01217,PDE_01217
PDE_01218,
PDE_01219,
PDE_01220,PDE_01220
PDE_01224,
PDE_01229,
PDE_01255,
,PDE_01265
PDE_01278,PDE_01278
PDE_01279,
PDE_01280,PDE_01280
PDE_01286,
PDE_01315,
PDE_01330,PDE_01330
PDE_01335,PDE_01335
PDE_01336,
PDE_01339,
,PDE_01370
PDE_01372,PDE_01372
PDE_01393,
PDE_01404,PDE_01404
PDE_01425,
PDE_01459,
PDE_01465,
PDE_01685,
PDE_01686,
PDE_01687,
PDE_01699,
PDE_01735,
PDE_01782,
PDE_01798,PDE_01798
PDE_01799,
PDE_01802,
PDE_01803,PDE_01803
PDE_01854,
PDE_01884,PDE_01884
PDE_02004,PDE_02004
PDE_02063,PDE_02063
PDE_02064,
PDE_02105,PDE_02105
PDE_02109,
PDE_02110,
PDE_02111,
PDE_02113,
PDE_02114,PDE_02114
PDE_02116,
PDE_02117,PDE_02117
PDE_02180,
PDE_02200,PDE_02200
PDE_02215,PDE_02215
PDE_02216,
PDE_02239,
PDE_02287,PDE_02287
PDE_02311,
PDE_02559,
PDE_02593,
PDE_02614,
PDE_02791,PDE_02791
PDE_02792,PDE_02792
PDE_02801,PDE_02801
PDE_02854,PDE_02854
PDE_02855,PDE_02855
PDE_02988,PDE_02988
PDE_03113,PDE_03113
PDE_03134,
PDE_03241,PDE_03241
PDE_03282,PDE_03282
PDE_03283,PDE_03283
PDE_03285,
PDE_03296,PDE_03296
PDE_03313,
,PDE_03365
PDE_03432,
PDE_03458,
PDE_03463,PDE_03463
PDE_03471,PDE_03471
PDE_03492,
PDE_03749,PDE_03749
PDE_03776,
PDE_03823,PDE_03823
PDE_03885,
PDE_03934,PDE_03934
PDE_03935,
PDE_04129,
PDE_04181,PDE_04181
PDE_04182,
PDE_04186,
PDE_04228,PDE_04228
PDE_04229,
PDE_04230,
PDE_04247,PDE_04247
PDE_04248,
PDE_04263,
PDE_04274,
PDE_04276,PDE_04276
PDE_04304,PDE_04304
PDE_04310,
PDE_04352,PDE_04352
PDE_04445,
PDE_04478,
PDE_04505,PDE_04505
PDE_04527,PDE_04527
PDE_04566,PDE_04566
PDE_04619,
PDE_04772,PDE_04772
PDE_04779,
PDE_04780,
PDE_04781,
PDE_04911,
PDE_05029,
PDE_05051,PDE_05051
PDE_05091,
PDE_05118,
PDE_05208,
PDE_05239,PDE_05239
PDE_05240,PDE_05240
PDE_05265,
PDE_05309,
PDE_05544,PDE_05544
PDE_05548,PDE_05548
PDE_05600,
PDE_05640,PDE_05640
PDE_05685,
PDE_05709,PDE_05709
PDE_05885,PDE_05885
PDE_05886,PDE_05886
PDE_05889,PDE_05889
PDE_05892,PDE_05892
PDE_05907,PDE_05907
PDE_05931,
PDE_05978,
PDE_06026,
PDE_06055,PDE_06055
PDE_06056,PDE_06056
PDE_06089,
PDE_06122,
PDE_06126,PDE_06126
PDE_06300,
PDE_06301,
PDE_06303,
PDE_06305,PDE_06305
PDE_06411,PDE_06411
PDE_06414,
PDE_06415,
PDE_06722,PDE_06722
PDE_06745,
PDE_06779,PDE_06779
PDE_06922,
PDE_06956,
PDE_07054,PDE_07054
PDE_07065,PDE_07065
PDE_07122,
PDE_07165,
PDE_07218,
PDE_07242,
PDE_07244,
PDE_07254,
PDE_07344,
PDE_07453,
PDE_07551,
PDE_07585,PDE_07585
PDE_07709,PDE_07709
PDE_07718,PDE_07718
PDE_07803,PDE_07803
PDE_07946,
PDE_07955,PDE_07955
PDE_07956,PDE_07956
PDE_07995,
PDE_07999,PDE_07999
PDE_08060,
PDE_08107,
PDE_08237,
PDE_08238,PDE_08238
PDE_08266,PDE_08266
PDE_08282,PDE_08282
PDE_08283,
PDE_08329,
PDE_08460,
PDE_08479,
PDE_08481,PDE_08481
PDE_08638,PDE_08638
PDE_08639,
,PDE_08733
PDE_08820,
PDE_08875,PDE_08875
PDE_08876,
PDE_08877,
PDE_08892,
PDE_08898,PDE_08898
PDE_08906,PDE_08906
PDE_08907,PDE_08907
PDE_08908,PDE_08908
PDE_08909,
PDE_08932,PDE_08932
PDE_08972,
PDE_09012,PDE_09012
PDE_09026,PDE_09026
,PDE_09053
PDE_09196,PDE_09196
PDE_09199,PDE_09199
PDE_09200,
PDE_09202,
PDE_09274,
PDE_09291,PDE_09291
PDE_09292,PDE_09292
PDE_09315,PDE_09315
PDE_09323,PDE_09323
PDE_09348,
PDE_09478,
PDE_09480,PDE_09480
PDE_09484,PDE_09484
PDE_09534,
PDE_09570,
PDE_09665,
PDE_09670,
PDE_09671,
PDE_09675,PDE_09675
PDE_09699,
PDE_09747,
PDE_09768,
PDE_09793,
PDE_09794,PDE_09794
PDE_09795,
PDE_09796,
PDE_09797,PDE_09797
PDE_09848,
PDE_09938,
PDE_09939,PDE_09939
PDE_09947,
PDE_09987,